x	y	Avg_Tot_auto	Count	Avg_total_viag	viag_auto_viag_total
331284.0048	7390362	0	0	0	0
331784.0048	7390362	3.333333	6	4.833333	0.689655151
332284.0048	7390362	4.625	40	7.025	0.658362989
332784.0048	7390362	3.3	20	6.45	0.511627907
333284.0048	7390362	2.673913	46	6.369565	0.419795229
333784.0048	7390362	2.954545	22	5.954545	0.496183168
334284.0048	7390362	2.466667	30	7.333333	0.336363697
334784.0048	7390362	1.75	4	7	0.25
335284.0048	7390362	2	12	5.666667	0.352941156
335784.0048	7390362	4.285714	7	9.857143	0.434782573
336284.0048	7390362	3.761905	21	7.333333	0.512987069
336739.2946	7390357.973	7.272727	11	9.545455	0.761904697
320984.5146	7390648.529	0	0	0	0
321379.3829	7390759.708	0.5	2	7.5	0.066666667
321780.2191	7390867.319	3.833333	6	8.166667	0.469387695
322285.038	7390876.217	8.75	4	11.25	0.777777778
322789.4043	7390869.301	2.8	10	5.8	0.482758621
323284.0048	7390862	0	0	0	0
323784.0048	7390862	6.333333	3	9.666667	0.655172357
324284.0048	7390862	7	1	10	0.7
324784.0048	7390862	3.785714	14	7.357143	0.514563058
325284.0048	7390862	1.384615	13	5.076923	0.272727201
325784.0048	7390862	1.444444	9	6.111111	0.236363568
326284.0048	7390862	2.36	25	6.32	0.373417722
326784.0048	7390862	0.8	5	2.4	0.333333333
327284.0048	7390862	1.4375	16	5.1875	0.277108434
327784.0048	7390862	2.205128	39	5.717949	0.385650169
328284.0048	7390862	7.625	8	8.5	0.897058824
328784.0048	7390862	2.652174	23	6.173913	0.429577482
329284.0048	7390862	2.75	20	5.9	0.466101695
329784.0048	7390862	2.8	5	4.6	0.608695652
330284.0048	7390862	2.5	4	4.5	0.555555556
330784.0048	7390862	0	0	0	0
331284.0048	7390862	0	3	4	0
331784.0048	7390862	4.2	15	5.466667	0.768292636
332284.0048	7390862	5	28	6.321429	0.790960398
332784.0048	7390862	5.818182	11	7.272727	0.800000055
333284.0048	7390862	3.8	20	6.65	0.571428571
333784.0048	7390862	3.84375	32	7.0625	0.544247788
334284.0048	7390862	3.666667	24	7.541667	0.486187868
334784.0048	7390862	4.454545	22	7.454545	0.597560951
335284.0048	7390862	2.615385	13	6.692308	0.390804637
335784.0048	7390862	0	1	2	0
336284.0048	7390862	4.074074	27	6.481481	0.628571464
336698.2269	7390830.688	4.777778	9	7.444444	0.641791113
321505.3192	7391229.727	0	0	0	0
321778.6108	7391246.346	5	2	5	1
322301.2903	7391345.677	4.5	8	7.75	0.580645161
322784.0048	7391362	5.75	8	8.125	0.707692308
323284.0048	7391362	1.833333	6	3.833333	0.478260824
323784.0048	7391362	3.473684	19	8.052632	0.4313725
324284.0048	7391362	2.642857	14	6.142857	0.430232545
324784.0048	7391362	1.846154	13	5.461538	0.338028226
325284.0048	7391362	3.153846	13	5.153846	0.611940287
325784.0048	7391362	1.818182	11	7.636364	0.238095251
326284.0048	7391362	0.904762	21	6	0.150793667
326784.0048	7391362	0	0	0	0
327284.0048	7391362	2.111111	18	6.166667	0.342342306
327784.0048	7391362	3.2	15	7.866667	0.406779644
328284.0048	7391362	2	13	5.692308	0.351351332
328784.0048	7391362	4.352941	17	7.058824	0.616666601
329284.0048	7391362	2.585366	41	6.780488	0.381294975
329784.0048	7391362	3.44	25	6.44	0.534161491
330284.0048	7391362	3.166667	6	6.833333	0.463414706
330784.0048	7391362	2	2	6.5	0.307692308
331284.0048	7391362	2.681818	22	6.272727	0.427536221
331784.0048	7391362	6.6	20	8.05	0.819875776
